year,week,start_wk,count,weeklyCountCum,weeklyPercentageCum,start_wk_date,wk_start_dayOfYear
1987,23,01/06/1987,171,5206,99.90404912684706,1987-06-01T00:00:00Z,152
1987,24,08/06/1987,4,5210,99.9808098253694,1987-06-08T00:00:00Z,159
1987,25,18/06/1987,1,5211,100,1987-06-18T00:00:00Z,169
1988,13,02/04/1988,3,3,0.07401924500370095,1988-04-02T00:00:00Z,93
1988,14,05/04/1988,156,159,3.923019985196151,1988-04-05T00:00:00Z,96
1988,15,11/04/1988,162,321,7.9200592153960025,1988-04-11T00:00:00Z,102
1988,16,18/04/1988,670,991,24.451023932889218,1988-04-18T00:00:00Z,109
1988,17,25/04/1988,110,1101,27.165062916358252,1988-04-25T00:00:00Z,116
1988,18,02/05/1988,986,2087,51.49272144090797,1988-05-02T00:00:00Z,123
1988,19,09/05/1988,691,2778,68.5418208734271,1988-05-09T00:00:00Z,130
1988,20,16/05/1988,703,3481,85.88699728596102,1988-05-16T00:00:00Z,137
1988,21,23/05/1988,258,3739,92.2526523562793,1988-05-23T00:00:00Z,144
1988,22,30/05/1988,210,3949,97.43399950653837,1988-05-30T00:00:00Z,151
1988,23,06/06/1988,104,4053,100,1988-06-06T00:00:00Z,158
1989,13,01/04/1989,9,9,0.174995139023916,1989-04-01T00:00:00Z,91
1989,14,03/04/1989,37,46,0.8944195994555707,1989-04-03T00:00:00Z,93
1989,15,10/04/1989,192,238,4.627649231965779,1989-04-10T00:00:00Z,100
1989,16,17/04/1989,130,368,7.155356795644566,1989-04-17T00:00:00Z,107
1989,17,24/04/1989,436,804,15.632899086136495,1989-04-24T00:00:00Z,114
1989,18,01/05/1989,1854,2658,51.681897725063195,1989-05-01T00:00:00Z,121
1989,19,08/05/1989,1947,4605,89.53917946723702,1989-05-08T00:00:00Z,128
1989,20,15/05/1989,38,4643,90.27804783200467,1989-05-15T00:00:00Z,135
1989,21,22/05/1989,324,4967,96.57787283686564,1989-05-22T00:00:00Z,142
1989,22,29/05/1989,70,5037,97.93894614038499,1989-05-29T00:00:00Z,149
1989,23,05/06/1989,81,5118,99.51390239160023,1989-06-05T00:00:00Z,156
1989,24,12/06/1989,25,5143,100,1989-06-12T00:00:00Z,163
1990,13,01/04/1990,11,11,0.0452228251932248,1990-04-01T00:00:00Z,91
1990,14,02/04/1990,147,158,0.6495642164117744,1990-04-02T00:00:00Z,92
1990,15,09/04/1990,219,377,1.5499095543496135,1990-04-09T00:00:00Z,99
1990,16,16/04/1990,455,832,3.420490050978457,1990-04-16T00:00:00Z,106
1990,17,23/04/1990,4585,5417,22.270185824699883,1990-04-23T00:00:00Z,113
1990,18,30/04/1990,8171,13588,55.8625226114126,1990-04-30T00:00:00Z,120
1990,19,07/05/1990,5577,19165,78.79049498437757,1990-05-07T00:00:00Z,127
1990,20,14/05/1990,1572,20737,85.25324782108206,1990-05-14T00:00:00Z,134
1990,21,21/05/1990,1942,22679,93.23713205064956,1990-05-21T00:00:00Z,141
1990,22,28/05/1990,1520,24199,99.4861042591679,1990-05-28T00:00:00Z,148
1990,23,05/06/1990,105,24304,99.91777668146686,1990-06-05T00:00:00Z,156
1990,24,14/06/1990,13,24317,99.9712218385134,1990-06-14T00:00:00Z,165
1990,25,19/06/1990,4,24321,99.98766650222002,1990-06-19T00:00:00Z,170
1990,26,27/06/1990,3,24324,100,1990-06-27T00:00:00Z,178
1991,14,01/04/1991,98,98,0.865877363491783,1991-04-01T00:00:00Z,91
1991,15,08/04/1991,92,190,1.6787418271779466,1991-04-08T00:00:00Z,98
1991,16,15/04/1991,82,272,2.403251457854745,1991-04-15T00:00:00Z,105
1991,17,22/04/1991,128,400,3.5341933203746247,1991-04-22T00:00:00Z,112
1991,18,29/04/1991,1360,1760,15.550450609648347,1991-04-29T00:00:00Z,119
1991,19,06/05/1991,4434,6194,54.72698356600107,1991-05-06T00:00:00Z,126
1991,20,13/05/1991,1886,8080,71.39070507156742,1991-05-13T00:00:00Z,133
1991,21,20/05/1991,2131,10211,90.21911998586323,1991-05-20T00:00:00Z,140
1991,22,27/05/1991,957,11168,98.67467750485952,1991-05-27T00:00:00Z,147
1991,23,03/06/1991,139,11307,99.9028096836897,1991-06-03T00:00:00Z,154
1991,24,10/06/1991,11,11318,100,1991-06-10T00:00:00Z,161
1992,14,01/04/1992,25,25,0.8245382585751979,1992-04-01T00:00:00Z,92
1992,15,06/04/1992,77,102,3.364116094986808,1992-04-06T00:00:00Z,97
1992,16,13/04/1992,76,178,5.8707124010554095,1992-04-13T00:00:00Z,104
1992,17,20/04/1992,489,667,21.99868073878628,1992-04-20T00:00:00Z,111
1992,18,27/04/1992,171,838,27.63852242744063,1992-04-27T00:00:00Z,118
1992,19,04/05/1992,272,1110,36.60949868073879,1992-05-04T00:00:00Z,125
1992,20,11/05/1992,399,1509,49.76912928759894,1992-05-11T00:00:00Z,132
1992,21,18/05/1992,449,1958,64.5778364116095,1992-05-18T00:00:00Z,139
1992,22,25/05/1992,862,2820,93.00791556728231,1992-05-25T00:00:00Z,146
1992,23,01/06/1992,156,2976,98.15303430079155,1992-06-01T00:00:00Z,153
1992,24,08/06/1992,46,3022,99.67018469656992,1992-06-08T00:00:00Z,160
1992,25,15/06/1992,5,3027,99.83509234828496,1992-06-15T00:00:00Z,167
1992,26,24/06/1992,3,3030,99.93403693931398,1992-06-24T00:00:00Z,176
1992,28,06/07/1992,1,3031,99.96701846965699,1992-07-06T00:00:00Z,188
1992,30,26/07/1992,1,3032,100,1992-07-26T00:00:00Z,208
1993,13,01/04/1993,80,80,1.8471484645578389,1993-04-01T00:00:00Z,91
1993,14,05/04/1993,32,112,2.586007850380974,1993-04-05T00:00:00Z,95
1993,15,12/04/1993,20,132,3.047794966520434,1993-04-12T00:00:00Z,102
1993,16,19/04/1993,60,192,4.433156314938813,1993-04-19T00:00:00Z,109
1993,17,26/04/1993,934,1126,25.998614638651578,1993-04-26T00:00:00Z,116
1993,18,03/05/1993,1094,2220,51.25836989148003,1993-05-03T00:00:00Z,123
1993,19,10/05/1993,2003,4223,97.50634957284691,1993-05-10T00:00:00Z,130
1993,20,17/05/1993,66,4289,99.03024705610713,1993-05-17T00:00:00Z,137
1993,21,25/05/1993,32,4321,99.76910644193026,1993-05-25T00:00:00Z,145
1993,22,31/05/1993,5,4326,99.88455322096513,1993-05-31T00:00:00Z,151
1993,23,08/06/1993,3,4329,99.95382128838605,1993-06-08T00:00:00Z,159
1993,24,17/06/1993,1,4330,99.97691064419303,1993-06-17T00:00:00Z,168
1993,25,21/06/1993,1,4331,100,1993-06-21T00:00:00Z,172
1994,14,08/04/1994,11,11,0.08804930761226287,1994-04-08T00:00:00Z,98
1994,15,13/04/1994,50,61,0.4882734331225486,1994-04-13T00:00:00Z,103
1994,16,18/04/1994,239,300,2.4013447530617142,1994-04-18T00:00:00Z,108
1994,17,25/04/1994,176,476,3.8101336748579206,1994-04-25T00:00:00Z,115
1994,18,02/05/1994,972,1448,11.590490674777875,1994-05-02T00:00:00Z,122
1994,19,09/05/1994,2987,4435,35.49987993276235,1994-05-09T00:00:00Z,129
1994,20,16/05/1994,1389,5824,46.61810613943808,1994-05-16T00:00:00Z,136
1994,21,23/05/1994,1639,7463,59.73745297366525,1994-05-23T00:00:00Z,143
1994,22,30/05/1994,3406,10869,87.00072040342593,1994-05-30T00:00:00Z,150
1994,23,06/06/1994,872,11741,93.9806291523253,1994-06-06T00:00:00Z,157
1994,24,13/06/1994,549,12290,98.37509005042824,1994-06-13T00:00:00Z,164
1994,25,20/06/1994,170,12460,99.73585207716322,1994-06-20T00:00:00Z,171
1994,26,27/06/1994,13,12473,99.83991034979589,1994-06-27T00:00:00Z,178
1994,27,04/07/1994,13,12486,99.94396862242856,1994-07-04T00:00:00Z,185
1994,28,11/07/1994,7,12493,100,1994-07-11T00:00:00Z,192
1995,14,06/04/1995,69,69,0.3782894736842105,1995-04-06T00:00:00Z,96
1995,15,10/04/1995,60,129,0.7072368421052632,1995-04-10T00:00:00Z,100
1995,16,17/04/1995,237,366,2.0065789473684212,1995-04-17T00:00:00Z,107
1995,17,24/04/1995,759,1125,6.167763157894736,1995-04-24T00:00:00Z,114
1995,18,01/05/1995,5425,6550,35.91008771929825,1995-05-01T00:00:00Z,121
1995,19,08/05/1995,1960,8510,46.655701754385966,1995-05-08T00:00:00Z,128
1995,20,15/05/1995,7330,15840,86.8421052631579,1995-05-15T00:00:00Z,135
1995,21,22/05/1995,2381,18221,99.89583333333333,1995-05-22T00:00:00Z,142
1995,22,29/05/1995,19,18240,100,1995-05-29T00:00:00Z,149
1996,15,11/04/1996,7,7,0.08904719501335707,1996-04-11T00:00:00Z,102
1996,16,18/04/1996,34,41,0.5215621422210914,1996-04-18T00:00:00Z,109
1996,17,22/04/1996,62,103,1.3102658694822542,1996-04-22T00:00:00Z,113
1996,18,30/04/1996,111,214,2.7222999618369164,1996-04-30T00:00:00Z,121
1996,19,06/05/1996,937,1151,14.641903065767714,1996-05-06T00:00:00Z,127
1996,20,13/05/1996,2109,3260,41.4705508205063,1996-05-13T00:00:00Z,134
1996,21,20/05/1996,3229,6489,82.54674977738202,1996-05-20T00:00:00Z,141
1996,22,27/05/1996,257,6746,85.81605393715812,1996-05-27T00:00:00Z,148
1996,23,03/06/1996,967,7713,98.11728787686044,1996-06-03T00:00:00Z,155
1996,24,10/06/1996,119,7832,99.63109019208753,1996-06-10T00:00:00Z,162
1996,25,17/06/1996,21,7853,99.89823177712759,1996-06-17T00:00:00Z,169
1996,26,25/06/1996,8,7861,100,1996-06-25T00:00:00Z,177
1997,14,04/04/1997,27,27,0.17331022530329288,1997-04-04T00:00:00Z,94
1997,15,07/04/1997,402,429,2.75370691315232,1997-04-07T00:00:00Z,97
1997,16,14/04/1997,1728,2157,13.845561332563067,1997-04-14T00:00:00Z,104
1997,17,21/04/1997,3550,5707,36.632646511329355,1997-04-21T00:00:00Z,111
1997,18,28/04/1997,8794,14501,93.08042878233519,1997-04-28T00:00:00Z,118
1997,19,05/05/1997,802,15303,98.22838436356633,1997-05-05T00:00:00Z,125
1997,20,12/05/1997,221,15524,99.64696065215996,1997-05-12T00:00:00Z,132
1997,21,19/05/1997,48,15572,99.95506771936581,1997-05-19T00:00:00Z,139
1997,22,26/05/1997,7,15579,100,1997-05-26T00:00:00Z,146
1998,14,31/03/1998,110,110,1.3775829680651221,1998-03-31T00:00:00Z,90
1998,15,06/04/1998,150,260,3.2561051972448336,1998-04-06T00:00:00Z,96
1998,16,14/04/1998,54,314,3.9323731997495304,1998-04-14T00:00:00Z,104
1998,17,20/04/1998,507,821,10.281778334376956,1998-04-20T00:00:00Z,110
1998,18,27/04/1998,505,1326,16.606136505948655,1998-04-27T00:00:00Z,117
1998,19,04/05/1998,1530,2856,35.76706324358172,1998-05-04T00:00:00Z,124
1998,20,11/05/1998,2990,5846,73.21227301189731,1998-05-11T00:00:00Z,131
1998,21,18/05/1998,1468,7314,91.59674389480276,1998-05-18T00:00:00Z,138
1998,22,25/05/1998,568,7882,98.71008140262994,1998-05-25T00:00:00Z,145
1998,23,01/06/1998,95,7977,99.89981214777708,1998-06-01T00:00:00Z,152
1998,24,08/06/1998,8,7985,100,1998-06-08T00:00:00Z,159
1999,13,01/04/1999,16,16,0.49185367353212417,1999-04-01T00:00:00Z,91
1999,14,05/04/1999,260,276,8.484475868429142,1999-04-05T00:00:00Z,95
1999,15,12/04/1999,351,627,19.274515831540118,1999-04-12T00:00:00Z,102
1999,16,19/04/1999,333,960,29.511220411927454,1999-04-19T00:00:00Z,109
1999,17,26/04/1999,194,1154,35.47494620350446,1999-04-26T00:00:00Z,116
1999,18,03/05/1999,1513,2667,81.98585920688595,1999-05-03T00:00:00Z,123
1999,19,10/05/1999,291,2958,90.93144789425146,1999-05-10T00:00:00Z,130
1999,20,17/05/1999,67,3025,92.99108515216723,1999-05-17T00:00:00Z,137
1999,21,24/05/1999,113,3138,96.46480172148786,1999-05-24T00:00:00Z,144
1999,22,31/05/1999,115,3253,100,1999-05-31T00:00:00Z,151
2000,13,31/03/2000,22,22,0.4824561403508772,2000-03-31T00:00:00Z,91
2000,14,05/04/2000,52,74,1.6228070175438596,2000-04-05T00:00:00Z,96
2000,15,10/04/2000,258,332,7.280701754385966,2000-04-10T00:00:00Z,101
